input,solovay mean,solovay stddev,miller mean, miller stddev
10001,27145.02,206635.79057717495,7258.28,44522.30240334101
12589,7135.72,3098.7354510437885,2777.33,1567.2964888429353
15849,5486.9,4205.943443809634,2685.9,943.9095841394461
19953,4616.54,3067.16181911657,2928.6,1686.604232884478
25119,5304.34,3480.323572034735,2734.39,1688.9445684967122
31623,4343.74,3036.294287848963,2791.1,1991.44740266364
39811,7558.52,2784.018756032256,2530.6,997.140973590054
50119,11373.65,5164.936543901121,2615.62,1509.5149651126321
63097,15412.6,4384.469664899535,2826.68,1295.8093752437883
79433,21048.47,10570.771773526274,2911.92,1621.4135850354078
100001,17477.45,10143.49156846374,3073.63,1654.2032575450717
125893,11782.16,9340.735319961472,2878.03,2536.5221097464
158489,2441.24,1027.386732138262,2783.12,999.856729938865
199527,2090.91,1606.6917833759146,2684.02,996.99575979565
251189,2408.33,1018.6736579067564,2751.87,1557.0691819809251
316229,3641.02,1646.6088382681014,2713.91,977.0927408088826
398107,2456.24,670.9063388846132,2628.15,1102.3161325412075
501187,2703.56,1207.9361840124109,2620.12,1129.3884666875563
630957,2252.24,2747.540601330505,2731.87,971.6131193208353
794329,2469.69,987.2494664419422,2815.21,934.336898716427
1000001,2503.94,268.5542219012952,3196.89,1079.447154563367
1258925,2279.67,1059.9736994545449,2756.01,1047.760222926732
1584893,2370.21,470.23931785911526,2732.44,1029.9730929112725
1995263,2511.02,932.1888977080245,2897.69,1749.10060406236
2511887,2306.47,1082.8160392460413,2554.82,262.71862968552193
3162279,1981.09,654.9652175975655,2631.5,1012.4946439564034
3981073,2424.44,280.8861633610256,3018.64,1095.4147548999536
5011873,2450.9,268.0669862010409,3112.83,999.2337473880633
6309573,2142.13,1158.3801704505,2954.46,1094.42224433209
7943283,2134.58,1342.6010424515248,2887.01,1690.5762599800344
10000001,2532.66,1071.4244574774314,3726.82,1326.0179804378386
12589255,2120.81,1278.4669298844144,2888.06,400.39533039991943
15848933,2644.64,850.9915253171541,3141.7,1369.1148545131211
19952623,2671.04,1042.1871709985396,2925.64,982.6738057386332
25118865,2217.77,1759.9300023672313,2885.71,1302.8362478791717
31622777,3768.7,1731.2886862541193,2684.47,1006.1903795500081
39810717,3030.55,1650.7272249563584,2757.02,1475.6228952170973
50118723,2395.45,896.7205838808184,2544.18,1026.48850658028
63095735,2902.08,4113.037142913968,2395.19,253.4291563193297
79432823,2688.74,2101.825928745641,2415.19,242.5585712875357
100000001,2824.68,2053.6025840783636,3159.09,1036.5825074968634
125892541,2883.05,2005.111162816796,2858.59,1749.3559859432714
158489319,2447.15,2190.758244157359,2544.31,1055.660870083884
199526231,2810.95,1750.0131045685391,2782.54,994.5398958535773
251188643,2957.57,1996.8214603577992,2607.83,1022.6877842926518
316227767,3017.69,1939.9830505091086,3210.94,5992.436806946947
398107171,2743.95,2119.162438776035,2744.91,1596.477784076717
501187235,2688.62,2185.7214595153378,3629.92,1328.2638070090215
630957345,2327.72,2126.057849968843,4581.17,1144.108228042587
794328235,2708.46,2200.3356420732225,3881.42,908.0358999266251
1000000001,2433.75,2289.560525846642,4943.99,669.9340159728986
input,solovay mean,solovay stddev,miller mean, miller stddev,AKS mean, AKS stddev
10001,29817.86,203108.42370278665,7505.83,41656.992374607165
12589,6646.77,2060.3452630885226,3012.68,1097.9712133997618
15849,4753.12,3215.856708451565,2786.75,520.7647324518593
19953,5122.94,3275.5791864133967,3130.28,1274.8847211105847
25119,6008.37,4223.286947330829,2724.79,1026.4145232976605
31623,5690.77,3316.6777793479137,2989.73,1675.6897621245073
39811,7564.48,2876.683557940507,2662.66,248.77421591686408
50119,12825.95,4456.98472919334,2586.87,1684.2316094416542
63097,27757.17,7318.164611009949,3612.05,1977.8817736674903
79433,24019.51,12068.86147835567,3363.35,1451.00400889811
100001,11755.08,11989.48802681126,3079.61,1256.373906055909
125893,2485.59,1017.2033664847352,2822.91,1018.2142329300915
158489,2581.95,1440.592781854508,3674.46,1887.9064585841209
199527,2601.42,1601.5133510955736,2810.04,1191.2425472860878
251189,3528.1,2561.062435392742,2851.35,934.6529888658994
316229,2559.95,1263.8225116325034,2932.43,1519.123785561462
398107,2725.72,2015.445405719128,3016.4,1506.23272109625
501187,2690.58,1280.3943693292706,2477.7,1145.9846148067336
630957,2282.95,1453.7186476638644,4242.31,2712.1739079509084
794329,2596.36,1221.347446987395,4448.75,1922.7999647767458
1000001,2673.52,1502.2494545974657,4998.52,1767.8180495066833
1258925,2427.01,1244.4115439869886,3887.88,981.3565572844825
1584893,2609.89,1076.4403636359268,3674.96,1075.6005315331263
1995263,2729.22,1031.2304563682235,2573.04,1021.7004929888883
2511887,2434.82,1192.6779000775246,2736.84,1044.9495925206588
3162279,1974.06,748.0262219246517,2890.5,1473.3556799347398
3981073,2599.54,306.80874245113097,3081.84,1554.5863246562035
5011873,2700.9,1121.3837546765712,3215.03,1153.7564861763249
6309573,2123.38,812.3358983309626,2973.26,1571.035183526705
7943283,2208.34,1152.5398761260308,2795.75,999.5386044156432
10000001,2524.0,1195.8291489737794,5028.02,2249.697667589038
12589255,1968.5,822.7347781341903,3669.33,978.4442718061683
15848933,3036.37,1465.1954787707002,4098.15,1820.1422154170905
19952623,2716.03,546.9462229580535,3281.83,1342.3236678960632
25118865,2078.28,1187.4479389332266,2848.16,990.526894989212
31622777,2970.95,1035.298730860428,3559.87,1483.897343606908
39810717,2633.44,2044.3768620142891,2887.5,1465.9666063417308
50118723,2252.77,820.8560308198591,2832.57,1512.4591939065078
63095735,2654.46,1438.7608755348117,2701.3,1030.6112582620892
79432823,2696.61,1546.0305895218812,2742.27,1461.4773613979758
100000001,3517.65,2046.0380654209534,3231.55,1032.0306390311243
125892541,2999.68,1459.0190968073325,2930.91,1539.617013212616
158489319,2465.66,1485.5001281410484,3382.69,363.38333531387815
199526231,2866.81,370.7100937880753,3729.47,1388.3355375223514
251188643,2877.57,501.5674271116437,3294.97,2187.1890518621976
316227767,3024.95,1450.1468986891555,3724.09,6770.492346054296
398107171,2992.87,2245.7644472709662,2980.79,1538.9052273902016
501187235,2849.77,793.7600565496712,3819.41,1236.2054771425226
630957345,2386.55,995.6625871115866,5046.92,2346.670788908226
794328235,2941.06,906.7897623657389,3833.27,1836.3261734377495
1000000001,2620.0,1965.3459304312375,5070.51,1582.6582834974936
input,solovay mean,solovay stddev,miller mean, miller stddev,AKS mean, AKS stddev
10001,27084.14,203075.27535409585,7411.25,46699.175764226085
11221,6062.21,3159.1242115082114,2235.79,1814.9565222552212
12589,10142.51,33096.964361240025,2329.82,1173.436500113227
14125,6133.55,3136.266088403969,2037.02,932.8616013497004
15849,6186.46,3051.774275844639,2116.66,930.0058348899177
17783,8458.93,2782.6348361605305,1790.93,939.086588826148
19953,6023.56,4056.183169613343,2228.01,938.7982269956098
22387,13921.33,4491.73845010386,1856.43,131.99190784807126
25119,11323.64,9372.268944178897,1936.46,1019.6849723460101
28185,15407.79,14060.372036469713,2189.57,1106.855325786628
31623,16987.73,12134.95552497125,1936.4,986.2689718573149
35481,15485.93,11344.440879736576,2130.6,1005.0368906239966
39811,5446.54,8222.664155033002,2016.3,1431.9850988164371
44669,2545.95,440.70598492817766,2434.65,2002.4237806904787
50119,2573.21,200.20364859085586,1815.94,1000.1842640334839
56235,1991.69,691.6139037195404,2164.33,219.17748239241826
63097,2606.74,1869.5757019854918,3294.91,1378.5774698227992
70795,2526.18,2456.5835000107877,2069.3,1403.6987323899423
79433,2463.83,1345.685924416138,2757.61,1752.2702382274765
89125,2230.78,1806.9361007858665,2402.77,1446.7224040023798
100001,2513.51,2151.9869629688465,2463.49,1180.446127743681
112203,2101.93,1882.4684216971261,2102.19,1460.0483574045054
125893,2600.67,1967.0557655921955,2210.71,1482.843468958994
141255,2036.07,1929.4065202292204,2267.46,1072.8819624984599
158489,2534.36,1429.9079049245297,2883.4,1539.7263629383226
177829,2454.13,982.5699826516588,2009.52,166.56975849308427
199527,2303.83,1102.565621904683,1885.27,104.42297968775213
223873,2277.33,1088.7356772185274,2707.14,1690.5555779152012
251189,2381.31,129.96174223379913,2145.23,1040.0654491352211
281839,2626.77,1456.155349236856,1964.83,1415.36510658893
316229,2457.88,918.7358495302777,2139.54,1014.6506929415999
354813,2202.28,1416.4021434321512,2950.85,1629.5163400608333
398107,2689.33,1170.4916178143853,2792.38,1774.4075111872064
446685,2035.21,782.0979723045114,3255.05,1689.9139083624248
501187,2594.28,1003.6401733568451,2296.95,178.21388664730762
562341,2199.33,795.3794476585223,3067.03,1354.2876874966596
630957,2305.47,665.8720333123134,2456.49,1204.5950700244764
707947,2538.51,418.43861997534196,1851.85,1005.9764478537076
794329,2564.88,1049.8246537571706,2078.45,380.96690847570386
891251,2604.26,1090.17278419246,1752.67,1444.9946702568511
1000001,3178.73,6621.826047178448,2384.55,1546.1428669924114
1122019,2646.19,1311.8599849454242,1741.8,101.24707253530688
1258925,2307.23,1415.8713265096949,2180.97,1028.9809458730017
1412539,2518.59,167.61072595316043,1685.49,960.1177694492078
1584893,2533.36,1547.7198185613815,2106.15,1626.6227538471655
1778279,2751.98,1966.4159366623312,1662.69,982.8904672475264
1995263,2814.89,1982.172402245128,1825.17,1389.07433064635
2238721,2710.74,1965.4471957272012,3293.55,1631.4145276756333
2511887,2381.68,1432.7701422084563,1843.57,968.5821904706746
2818383,2371.82,2109.2437745803736,2787.78,1024.4125252153947
3162279,2527.53,2452.7209111062302,2873.73,1490.4020869916583
3548135,2566.13,1917.3805924919147,2907.12,1607.9134749825012
3981073,2734.32,1433.2978352193397,3570.21,1820.5027682461562
4466837,2671.55,1424.7798651516,3653.88,1838.0067996488908
5011873,2586.71,991.4064114308841,3574.41,2223.412147505894
5623413,2181.99,1232.6705958522691,2772.18,470.23019035275905
6309573,2357.66,1595.6112360364148,2602.47,1013.2824893045932
7079459,2608.88,1018.3052099474208,1838.04,157.24252130085713
7943283,2403.67,1458.8911525711935,1435.77,288.7757109109442
8912509,2771.34,1089.3989745068452,2070.15,1188.1881068554455
10000001,2628.52,1045.7228178237156,2042.09,234.34818673559778
11220185,2517.82,1418.7101652308315,1661.76,206.46750520861804
12589255,2370.35,1492.235150688221,1674.46,1054.200193933244
14125375,2319.65,1249.496135822094,2395.52,1347.5158174892933
15848933,3650.43,2852.7491091750408,2447.7,2207.6058492988695
17782795,2546.72,1181.2187942968058,2171.73,1320.6497471496616
19952623,2586.76,318.7466021209267,2015.45,1250.3611548975625
22387211,3045.03,2211.563574382467,2168.27,1844.3766725379119
25118865,2683.53,1480.8784961309386,2619.35,207.18831404002367
28183829,3642.68,1050.8761316351247,3085.1,2169.795845258491
31622777,4090.51,984.438521147559,3423.24,1082.6893854908458
35481339,3049.67,1230.4195232242184,2200.02,973.5422148219378
39810717,3214.26,1357.7824138028607,2220.14,951.8262087782476
44668359,2829.88,1687.1597571245602,2022.01,959.6586145419872
50118723,2253.8,1285.3735219418093,2104.61,1343.1009415873887
56234133,2349.66,1320.6963974136581,2177.67,967.1699009340226
63095735,2409.54,671.5839022622399,2095.22,961.1286776230821
70794579,2195.31,1323.974866975895,2073.23,963.8761064503356
79432823,2695.55,1145.3858806780213,2147.36,1013.5353518723208
89125095,2205.41,983.5619569357657,2166.98,967.1211782053654
100000001,2834.25,486.60594006761875,3408.77,1145.5836398354274
112201845,2119.01,874.2424772280855,2313.26,1030.6513055031533
125892541,2930.58,1281.2280029548044,2250.1,153.570337255762
141253755,2148.71,1684.6970491378374,2090.51,192.29241700172065
158489319,2434.45,1270.460557348309,2278.23,116.2272117340632
177827941,3049.38,1871.7776446766081,2405.06,975.223059902532
199526231,3002.27,1474.6016880788006,2196.38,972.024813458894
223872115,3372.75,6597.390510113018,2286.84,950.4715865125464
251188643,3139.35,2000.3817937351548,2380.6,1366.0772343103486
281838293,2933.47,1385.6280307120492,2408.7,1309.5719980901458
316227767,3061.83,1482.4437785854363,2305.43,1397.9735930151455
354813389,2667.63,1637.1914585100244,2494.43,1289.4881002580328
398107171,2667.19,1681.4721045211625,2265.51,503.42003056266753
446683593,2603.02,1485.267584503128,2621.76,1310.8819617249133
501187235,2901.44,2260.788654385451,2252.84,1278.599918629433
562341325,2482.12,1740.9787290341878,2441.1,1311.4348414749188
630957345,2358.22,1694.3913038330465,3021.83,1324.5215416301933
707945785,4257.29,7439.52489698289,2719.78,1286.0731130543134
794328235,3398.37,1547.8406963615903,2545.78,1346.2940572121859
891250939,4239.85,1291.3138980640351,2685.79,3296.888301202523
1000000001,3123.01,1278.8022528597576,3824.35,1670.7413304980355
input,solovay mean,solovay stddev,miller mean, miller stddev,AKS mean, AKS stddev
10001,32288.48,218303.41512695237,8565.11,57387.86784130958
10233,5612.61,3239.800604585836,2305.57,588.9301592075603
10471,6883.05,2708.348751005067,1992.73,151.07592946808722
10715,5982.81,3122.671401333652,1998.99,193.21843477099569
10965,4154.31,3481.5126768533974,2115.94,160.53891689675697
11221,6325.23,2814.3748318304024,2193.93,535.4735892156351
11483,9704.07,2965.9253355505425,1804.45,104.35868362759687
11749,20267.15,8054.108756787533,2219.38,485.88018184642107
12023,13859.65,7242.141648997307,2058.74,309.6582221505745
12303,19999.16,19096.982531607588,2660.0,549.7723495808392
12589,20463.39,8998.831211307164,3402.77,1471.442677315791
12883,14710.27,16154.808738292388,2761.47,809.5876672789063
13183,2554.89,310.7806688669907,2394.11,175.9250239175884
13491,1923.81,648.0339449738602,2747.02,418.50781053015896
13805,2243.97,847.0127001659565,2303.53,513.2263653800458
14125,2063.55,508.33941129004256,2804.22,1354.7700284177351
14455,1928.58,1441.0619693809006,2521.23,675.8827352567765
14791,2406.75,1977.463401058349,2338.22,127.7675904590721
15137,2229.66,226.05689906782675,4190.87,1204.4518234659722
15489,1961.78,1557.3218372085028,2625.62,444.9506789147161
15849,2263.83,1823.9044590818307,1957.15,232.939250544953
16219,2367.45,1481.923738649096,2419.0,822.6585137850519
16597,2068.37,441.028312955396,1808.94,240.45183981980114
16983,2166.33,1581.6130626354193,2256.93,97.13151087077976
17379,2011.14,1278.851204966569,2352.27,262.29179737402575
17783,2603.75,1626.3636601481555,1578.08,225.32838796796648
18197,2199.56,340.53740416636117,2567.01,175.98918096912047
18621,1999.5,1193.3923423703886,2526.85,113.99631174256952
19055,2046.93,1177.9245337336843,2372.9,483.19915587925476
19499,2096.31,453.18637758463444,2571.06,1700.7698186884716
19953,1962.23,1255.3774904527138,2215.94,998.732417020736
20417,2305.75,1263.4910061916835,2449.2,676.4047410666001
20893,2363.74,1395.3967584652594,3353.28,3202.7870567537097
21381,2751.67,2408.7885552994094,2648.8,240.12837475741256
21879,2262.46,1342.9016782980639,2425.13,94.79788760805536
22387,3713.94,6341.571459994929,2486.19,568.4119592817742
22909,2404.73,1462.9092838683755,2822.03,675.4520439952594
23443,2217.47,1485.3190009033228,2148.11,983.6402797257696
23989,2201.8,1440.1678774196826,2250.71,954.2725326475958
24547,2536.91,1550.1694667540598,1966.77,1625.632985372563
25119,2203.7,2062.277629273522,2020.64,976.9683319412978
25705,2136.75,1410.2007549253117,2669.78,1391.6549088960762
26303,2535.52,1877.3652474473984,2074.05,964.5086819073991
26915,2069.07,1466.0252609547956,2061.96,70.66837047688722
27543,2235.85,1461.673251600523,1517.69,199.36422660167702
28185,1917.59,1500.765778231604,1703.16,194.87959090036847
28841,2355.86,1505.2918910203819,1674.82,211.71685780491808
29513,2162.4,330.9566482642449,1714.59,372.2892894652021
30201,2058.93,1137.7139603857227,1747.47,180.3718076360576
30903,1958.23,586.1399987040708,1582.44,810.0897234257449
31623,2123.64,1556.4905066763938,1504.31,190.4060358414315
32359,2406.79,1041.1386375143577,1139.69,189.29548784155355
33113,2251.16,320.9030729398244,2117.69,989.5228387378627
33885,1825.9,1211.4185232131124,1289.17,217.32478394599107
34675,2218.62,1552.828606905554,1191.51,160.47199919379244
35481,2031.5,1190.1591227116387,1467.05,246.23875147359058
36309,1769.82,632.9179400110878,1329.59,197.33620467812713
37155,1751.02,605.5470517797871,1146.66,160.57203424574962
38019,1812.81,626.8743965021216,1216.1,217.13848395003868
38905,2109.11,667.8631822476966,1630.3,1495.306850033656
39811,2450.72,1427.1718666543627,1923.99,1107.2884297082023
40739,2387.74,1000.8232835263601,2281.05,8107.221655861685
41687,3315.82,3345.798315994724,1600.14,1651.9846651035766
42659,2953.2,982.5238167622459,1786.66,155.27129857644704
43653,2059.62,1180.7445072983198,1856.95,225.3395361796429
44669,2334.2,1123.1851714178433,1628.55,325.80636174503314
45709,2303.06,914.6293372981564,1210.73,185.3227517689944
46775,2448.99,1027.136034925474,1218.08,389.0541932077398
47863,2514.03,361.2126449177615,1123.44,158.986647047461
48979,2568.4,633.3115626242234,1138.93,364.1167882075001
50119,3415.5,1432.3158298237286,885.42,150.58359066570887
51287,3349.03,1538.8308132534196,851.86,143.1376409000241
52481,3204.65,1784.081918075524,2010.49,826.9541838102109
53703,2452.1,1257.0800582012562,1085.42,187.16681804683697
54955,2359.47,1263.3257491976724,1096.24,159.1336469002001
56235,1753.33,1176.4412957403495,1136.23,187.45034925105753
57545,2353.3,1781.440465273294,1308.58,325.7178608066878
58885,2048.92,1132.6923292435913,1167.3,204.65573458119795
60257,2237.82,137.63048023933175,2332.2,559.756873629755
61661,2332.41,993.6402016847152,1217.69,208.14537921579927
63097,2371.44,1014.9438788286357,2002.43,670.7520918997412
64565,2038.35,1142.7389865643604,1265.17,303.36759896371615
66069,1837.68,1113.025015192581,1165.09,169.81600827562363
67609,2229.04,1054.0879816843153,1284.42,208.17524571690302
69183,2017.81,1203.0481043221548,1116.12,152.4137961358002
70795,2226.26,1107.9405284334782,1073.11,181.9892268428785
72445,2289.25,1496.415281412364,1258.27,172.8940152378055
74131,2431.39,1461.5163074939353,873.56,164.39514603662727
75859,2421.51,1657.4057768059997,1086.68,256.0964890762302
77625,1884.84,1429.6071984353534,1438.51,289.22887707373434
79433,2420.73,1010.1374929416613,2135.0,836.0687227081929
81283,2515.99,1473.9748054738648,902.84,134.22465112525703
83177,2478.6,1443.8300356057061,2041.12,679.3857338460496
85115,2092.73,1182.015090359841,1114.48,156.02126765154796
87097,2370.56,974.1126324024654,1349.87,344.65343902288737
89125,2141.87,1593.313247337577,1212.63,177.17517753724292
91201,2235.79,1028.1808717095912,1647.52,319.04397847635397
93325,2215.26,1099.427956124034,1236.44,274.37736014032896
95499,2917.43,6974.927066350519,1097.55,191.5437748316758
97725,2399.14,2649.2288110567824,1465.94,1503.408375604707
100001,2851.89,668.6116460489776,2381.57,470.5285069563647
102329,3124.07,472.718834044727,3130.66,1195.795202390696
104713,2774.98,557.8322578327538,1996.44,129.8018941201234
107153,2803.1,247.6778414217007,2318.64,728.4882717108095
109649,2625.76,854.1334213190243,2236.97,306.92665050118865
112203,1945.3,953.8485098787861,1709.72,114.94496531168754
114815,2493.12,746.9219568984233,1754.5,262.2458365501325
117491,2773.93,489.05060065396094,1759.46,254.28221099456178
120227,2156.63,254.4963596413652,1763.6,449.3246110114673
123027,2162.73,893.1296449716986,1692.57,261.1561418080003
125893,2164.61,566.0804257204433,1938.68,142.9267581029465
128825,2417.46,961.7598707000041,2204.46,346.0055590141391
131827,3061.09,696.6909100464957,1950.54,1851.4309312889138
134897,2714.16,791.9466454837278,2341.13,359.34521414552455
138039,2133.49,1062.050917524269,1747.91,268.4655271965645
141255,2422.07,2523.5738897184465,1756.71,260.8696138965698
144545,2563.41,974.677228054954,2486.27,554.2446284645602
147911,2924.45,301.99716952984915,1132.79,229.6440502124534
151357,2950.51,139.34620029033277,2531.17,1487.2822686247748
154883,2965.1,485.6626525904706,928.05,185.5125781899079
158489,3083.76,1461.1332817613552,3084.93,1195.1686010557235
162181,3320.33,2785.7847272475415,1930.69,207.63024122392932
165959,2113.04,296.6966930667879,1650.98,96.47996390102685
169825,2316.59,873.7557744783969,2570.85,447.43401691752246
173781,1916.3,759.3881441893559,1949.96,411.24187186097333
177829,2175.94,397.6782319433844,1927.46,118.089199294004
181971,2322.4,899.895122957799,1779.66,115.90985874176259
186209,2066.6,441.73866765888926,2513.17,144.97502780433837
190547,2584.65,816.9473157227867,1764.78,94.11003445891724
194985,1888.64,997.0674730722017,2178.67,130.3180301796301
199527,2343.76,917.3062134821336,1842.59,399.641002916519
204175,2463.78,846.1338048781502,1933.14,430.74295740445416
208931,2912.51,464.69854451324386,1403.44,1369.7807191612303
213797,2100.62,321.622081381741,2064.27,1464.3524431907736
218777,2771.25,505.37707444415935,2144.38,1060.1627164990032
223873,1994.9,684.8445005247466,3003.58,1545.353015666745
229087,2757.99,1901.8543343247666,1925.74,1269.944392483387
234423,601.28,412.797993496024,1849.19,1086.4842633211233
239883,756.42,523.5814733085188,1727.68,214.3611547050086
245471,969.12,136.26143024985967,1481.9,199.10149180858494
251189,1427.53,1041.950690539217,1980.22,954.1021754571786
257041,1001.62,256.69011227036725,10162.53,64125.42973860454
263027,1232.84,137.47431128260385,1723.27,719.7967846636449
269153,975.83,977.6222241910846,1600.57,309.7570652865718
275423,1256.64,82.9288998132884,1404.81,87.1125702696798
281839,947.27,141.89424536846758,1390.54,102.28317001680612
288403,1244.08,440.64621233416324,908.74,173.02738850169692
295121,1154.77,105.52024603474123,2574.15,1087.2523182478633
301995,623.03,422.2771471319505,1148.19,207.282254986584
309031,1255.91,82.90923539106672,1012.26,804.3499366606928
316229,908.29,139.7097492675584,2048.07,280.8282215162857
323595,705.09,535.4605512259441,1099.41,205.21868577178586
331131,608.87,426.9476975750618,1734.64,96.6716320563817
338845,952.65,486.14877747288847,1870.1,315.18227851018014
346737,653.73,406.37965169670014,1766.55,95.59440571519028
354813,902.68,543.0921546890994,1799.36,111.7641383730158
363079,946.6,184.43355815506396,1634.23,1298.2014742626732
371535,748.22,552.1490901720096,1612.46,442.24942503003217
380189,992.42,183.65201943464774,2405.58,2294.8822428802027
389045,1072.17,453.8869848877637,1665.38,106.44387528579833
398107,874.75,235.1236242636386,1563.49,98.76648257788713
407381,1193.77,353.2536175084811,1653.92,128.41368440876673
416869,960.47,367.9919425720892,1014.58,349.2175721914246
426581,1144.96,338.0165234141818,994.71,177.4152405396943
436517,860.67,245.3806795140723,1027.35,345.5949744478882
446685,603.36,547.4611470001753,1034.32,149.8144900006053
457089,710.26,396.09652481396114,1077.16,173.7353566244192
467735,1095.11,458.36183702001597,1031.07,186.89273404925098
478631,941.77,146.38656828321845,990.45,198.30353099236635
489779,1352.84,97.34440783822016,1073.42,371.46869792130997
501187,975.49,360.604304668503,922.18,162.30924343687425
512861,1386.03,195.6953133229451,1070.57,178.75372454973922
524807,1214.68,278.13269415075166,946.85,163.45390571329054
537033,856.13,561.0498214251672,1016.85,166.02624686014144
549541,923.42,142.38269529402766,1002.42,150.91821184557782
562341,797.09,587.2853675422988,1010.04,153.82601479685684
575441,1164.81,154.42802219935356,1721.36,646.914081379335
588845,1099.36,703.1864634819434,1059.44,176.05372917253297
602561,1323.93,113.26533209480057,1053.78,174.26941756656538
616595,705.64,418.83340918134115,1010.61,166.6503564746602
630957,921.54,531.2874475452925,1024.64,162.67992494403845
645655,820.05,357.5587646835414,1069.03,180.46457751418637
660693,888.67,547.6649800781864,1027.13,174.35304106694826
676083,722.43,394.6546439354261,1024.17,153.8736891811664
691831,1179.73,434.3494579439022,1081.73,307.74713662520094
707947,1376.78,604.6195494655789,1058.31,163.06996050837205
724437,1022.13,1318.1805539562033,1052.12,155.61862732885535
741311,1557.93,1173.803540898673,1103.09,158.26573325654647
758579,1561.93,1056.2341553888996,932.98,144.3108303543977
776247,1187.87,1209.5786114481057,1052.71,163.7704907373842
794329,1541.2,1019.8169077106566,1131.96,323.19950119973515
812831,1583.61,1557.3250952913595,1057.69,163.262117746001
831765,808.53,1313.6144942466763,1210.0,323.42326147110396
851139,1091.19,1047.889198157974,1079.76,190.785464156296
870965,1228.52,1097.1139686477525,1046.07,175.65842974191114
891251,1532.55,993.9841611546251,949.25,152.9621577945726
